08-18 01:46:19.248  5467  5488 I TestRunner: started: back_cancels_the_composer(jp.golia.mailrs.MailFlowTest)
08-18 01:46:19.250  5467  5488 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@d7d6d77]
08-18 01:46:19.250  5467  5488 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:46:19.251   638  3112 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10354, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:46:19.262   983  1124 D SplashScreenView: Build android.window.SplashScreenView{cf7b529 V.E...... ......ID 0,0-0,0}
08-18 01:46:19.262   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:46:19.262   983  1124 D SplashScreenView: Branding: view: android.view.View{560d0ae G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:46:19.266  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@bf33581 in: PRE_ON_CREATE
08-18 01:46:19.266  5467  5467 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:46:19.266   498   536 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:46:19.268  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@bf33581 in: CREATED
08-18 01:46:19.268  5467  5467 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@bf33581
08-18 01:46:19.268   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:46:19.268  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@bf33581 in: STARTED
08-18 01:46:19.268  5467  5467 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@bf33581
08-18 01:46:19.269  5467  5467 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:46:19.269  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@bf33581 in: RESUMED
08-18 01:46:19.269  5467  5467 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@bf33581
08-18 01:46:19.271  1568  1840 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 01:46:19.303  5530  5530 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:46:19.307   455  5784 I RanchuHwc: logCompositionFallbackIfChanged: layer 6492 CompositionType fallback from 3 to 1
08-18 01:46:19.344   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +91ms
08-18 01:46:19.363   638   749 I ImeTracker: jp.golia.mailrs:8f7e031a: onRequestHide at ORIGIN_SERVER reason HIDE_UNSPECIFIED_WINDOW fromUser false
08-18 01:46:19.364  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2043
08-18 01:46:19.365  5467  5467 D InsetsController: hide(ime(), fromIme=false)
08-18 01:46:19.366   638  3112 I ImeTracker: system_server:2d95eb5c: onRequestHide at ORIGIN_SERVER reason IME_REQUESTED_CHANGED_LISTENER fromUser false
08-18 01:46:19.367  5467  5467 I ImeTracker: jp.golia.mailrs:8f7e031a: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
08-18 01:46:19.367  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
08-18 01:46:19.367  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1293 onStartInput(EditorInfo{EditorInfo{packageName=jp.golia.mailrs, inputType=0, inputTypeString=NULL, enableLearning=false, autoCorrection=false, autoComplete=false, imeOptions=0, privateImeOptions=null, actionName=UNSPECIFIED, actionLabel=null, initialSelStart=-1, initialSelEnd=-1, initialCapsMode=0, label=null, fieldId=0, fieldName=null, extras=null, hintText=null, hintLocales=[]}}, false)
08-18 01:46:19.367  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 1, locked = false
08-18 01:46:19.368   638   661 I ImeTracker: system_server:2d95eb5c: onCancelled at PHASE_SERVER_SHOULD_HIDE
08-18 01:46:19.368  5530  5530 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.app.Activity$$ExternalSyntheticLambda0@235a3af
08-18 01:46:19.370  5530  5530 D ViewRootImpl: Skipping stats log for color mode
08-18 01:46:19.380   638   749 I ImeTracker: jp.golia.mailrs:13293575: setFinished at PHASE_CLIENT_ANIMATION_CANCEL with STATUS_TIMEOUT
08-18 01:46:19.380  1251  1251 D RecentsView: onTaskRemoved: 1210, not handling task stack changes
08-18 01:46:19.380  1251  1251 D RecentsView: onTaskRemoved: 1210, not handling task stack changes
08-18 01:46:19.510   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:46:19.815   638  1065 W JobInfo : Job 'com.google.android.apps.photos/com.google.android.libraries.social.async.BackgroundTaskJobService#1043' has a deadline with no functional constraints. The deadline won't improve job execution latency. Consider removing the deadline.
08-18 01:46:19.817 19153 19196 W JobInfo : Requested important-while-foreground flag for job555000439 is ignored and takes no effect
08-18 01:46:19.817   638  3113 D ConnectivityService: requestNetwork for uid/pid:10159/19153 activeRequest: null callbackRequest: 1473 [NetworkRequest [ REQUEST id=1474, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10159 RequestorUid: 10159 RequestorPkg: com.google.android.apps.photos UnderlyingNetworks: Null] ]] callback flags: 0 order: 2147483647 isUidTracked: false declaredMethods: AVAIL|LOST|NC
08-18 01:46:19.818   638   895 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=1474, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10159 RequestorUid: 10159 RequestorPkg: com.google.android.apps.photos UnderlyingNetworks: Null] ]
08-18 01:46:19.818   638   895 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=1474, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10159 RequestorUid: 10159 RequestorPkg: com.google.android.apps.photos UnderlyingNetworks: Null] ]
