08-18 01:38:07.406  3789  3808 I TestRunner: started: a_message_with_no_recipient_cannot_be_sent(jp.golia.mailrs.MailFlowTest)
08-18 01:38:07.411  3789  3808 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@c63ea07]
08-18 01:38:07.414  3789  3808 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:38:07.416   638  1667 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10350, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:38:07.435   983  1123 I ndroid.systemui: AssetManager2(0xb4000078c0053718) locale list changing from [] to [en-US]
08-18 01:38:07.436  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@9803f91 in: PRE_ON_CREATE
08-18 01:38:07.437  3789  3789 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:38:07.437   983  1124 D SplashScreenView: Build android.window.SplashScreenView{6a0c33e V.E...... ......ID 0,0-0,0}
08-18 01:38:07.437   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:38:07.437   983  1124 D SplashScreenView: Branding: view: android.view.View{de4359f G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:38:07.439  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@9803f91 in: CREATED
08-18 01:38:07.439  3789  3789 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@9803f91
08-18 01:38:07.441  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@9803f91 in: STARTED
08-18 01:38:07.441  3789  3789 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@9803f91
08-18 01:38:07.441  3789  3789 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:38:07.441  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@9803f91 in: RESUMED
08-18 01:38:07.441  3789  3789 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@9803f91
08-18 01:38:07.451   498   629 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:38:07.452   431   484 I netd    : tetherGetStats() -> {[]} <0.32ms>
08-18 01:38:07.458  1568  1840 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 01:38:07.544  3840  3840 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:38:07.558   455   503 I RanchuHwc: logCompositionFallbackIfChanged: layer 5838 CompositionType fallback from 3 to 1
08-18 01:38:07.621   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +204ms
08-18 01:38:07.666  3840  3840 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.app.Activity$$ExternalSyntheticLambda0@e36ef08
08-18 01:38:07.669   638   749 I ImeTracker: jp.golia.mailrs:15b7d5bc: onRequestHide at ORIGIN_SERVER reason HIDE_UNSPECIFIED_WINDOW fromUser false
08-18 01:38:07.669  3840  3840 D ViewRootImpl: Skipping stats log for color mode
08-18 01:38:07.677  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2043
08-18 01:38:07.677  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
