08-18 01:53:37.594  6995  7009 I TestRunner: started: an_alias_can_be_added_from_the_phone(jp.golia.mailrs.MailFlowTest)
08-18 01:53:37.598  1251  1251 D RecentsView: onTaskRemoved: 1309, not handling task stack changes
08-18 01:53:37.598  1251  1251 D RecentsView: onTaskRemoved: 1309, not handling task stack changes
08-18 01:53:37.599  6995  7009 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@3e6e8c8]
08-18 01:53:37.600  6995  7009 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:53:37.602   638   706 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10358, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:53:37.611   983  1124 D SplashScreenView: Build android.window.SplashScreenView{1b4b3a3 V.E...... ......ID 0,0-0,0}
08-18 01:53:37.611   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:53:37.611   983  1124 D SplashScreenView: Branding: view: android.view.View{bbe56a0 G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:53:37.616   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:53:37.618   498   536 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:53:37.619  6995  6995 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@a7bde6a in: PRE_ON_CREATE
08-18 01:53:37.619  6995  6995 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:53:37.621  6995  6995 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@a7bde6a in: CREATED
08-18 01:53:37.621  6995  6995 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@a7bde6a
08-18 01:53:37.621  6995  6995 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@a7bde6a in: STARTED
08-18 01:53:37.621  6995  6995 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@a7bde6a
08-18 01:53:37.622  6995  6995 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:53:37.622  6995  6995 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@a7bde6a in: RESUMED
08-18 01:53:37.623  6995  6995 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@a7bde6a
08-18 01:53:37.622  1568  1844 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 01:53:37.664  7045  7045 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:53:37.673   455  5784 I RanchuHwc: logCompositionFallbackIfChanged: layer 7077 CompositionType fallback from 3 to 1
08-18 01:53:37.713   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +104ms
08-18 01:53:37.729   638   749 I ImeTracker: jp.golia.mailrs:f7b13e62: onRequestHide at ORIGIN_SERVER reason HIDE_UNSPECIFIED_WINDOW fromUser false
08-18 01:53:37.729  6995  6995 D InsetsController: hide(ime(), fromIme=false)
08-18 01:53:37.729  6995  6995 I ImeTracker: jp.golia.mailrs:f7b13e62: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
08-18 01:53:37.730  7045  7045 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.app.Activity$$ExternalSyntheticLambda0@544be3b
08-18 01:53:37.731  7045  7045 D ViewRootImpl: Skipping stats log for color mode
08-18 01:53:37.732  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2043
08-18 01:53:37.733  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
