08-18 01:54:29.219  6995  7009 I TestRunner: started: a_dmarc_row_reads_as_passing_against_total(jp.golia.mailrs.MailFlowTest)
08-18 01:54:29.221  6995  7009 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@44897f2]
08-18 01:54:29.221  6995  7009 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:54:29.223   638  1285 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10358, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:54:29.234   983  1124 D SplashScreenView: Build android.window.SplashScreenView{1750576 V.E...... ......ID 0,0-0,0}
08-18 01:54:29.234   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:54:29.234   983  1124 D SplashScreenView: Branding: view: android.view.View{5c17777 G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:54:29.236   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:54:29.236  6995  6995 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@81e2584 in: PRE_ON_CREATE
08-18 01:54:29.237  6995  6995 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:54:29.238   498  1372 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:54:29.239  6995  6995 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@81e2584 in: CREATED
08-18 01:54:29.239  6995  6995 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@81e2584
08-18 01:54:29.242  6995  6995 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@81e2584 in: STARTED
08-18 01:54:29.243  6995  6995 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@81e2584
08-18 01:54:29.245  6995  6995 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:54:29.245  6995  6995 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@81e2584 in: RESUMED
08-18 01:54:29.245  6995  6995 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@81e2584
08-18 01:54:29.249  1568  1840 I AssistantForeground: (REDACTED) Get launcher package: %s
