08-18 01:33:29.887   782   795 I TestRunner: started: search_keeps_the_servers_ranking(jp.golia.mailrs.MailFlowTest)
08-18 01:33:29.889   782   795 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@c603eb4]
08-18 01:33:29.893   782   795 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:33:29.896   638  1792 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10344, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:33:29.908   782   782 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@14c6a76 in: PRE_ON_CREATE
08-18 01:33:29.909   782   782 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:33:29.911   782   782 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@14c6a76 in: CREATED
08-18 01:33:29.911   782   782 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@14c6a76
08-18 01:33:29.912   782   782 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@14c6a76 in: STARTED
08-18 01:33:29.912   782   782 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@14c6a76
08-18 01:33:29.912   782   782 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:33:29.913   782   782 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@14c6a76 in: RESUMED
08-18 01:33:29.913   782   782 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@14c6a76
08-18 01:33:29.917   983  1123 I ndroid.systemui: AssetManager2(0xb4000078c0055fb8) locale list changing from [] to [en-US]
08-18 01:33:29.918   983  1124 D SplashScreenView: Build android.window.SplashScreenView{a6c5414 V.E...... ......ID 0,0-0,0}
08-18 01:33:29.918   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:33:29.918   983  1124 D SplashScreenView: Branding: view: android.view.View{d3614bd G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:33:29.919   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:33:29.920   498   536 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:33:29.922  1568  1844 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 01:33:29.983   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +84ms
08-18 01:33:29.986   830   830 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:33:30.007   455   503 I RanchuHwc: logCompositionFallbackIfChanged: layer 5708 CompositionType fallback from 3 to 1
08-18 01:33:30.008   830   830 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.app.Activity$$ExternalSyntheticLambda0@3987127
08-18 01:33:30.012   638   749 I ImeTracker: jp.golia.mailrs:bd94b4bd: onRequestHide at ORIGIN_SERVER reason HIDE_UNSPECIFIED_WINDOW fromUser false
08-18 01:33:30.013   830   830 D ViewRootImpl: Skipping stats log for color mode
08-18 01:33:30.016  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2043
08-18 01:33:30.017  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
08-18 01:33:30.017  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1293 onStartInput(EditorInfo{EditorInfo{packageName=jp.golia.mailrs, inputType=0, inputTypeString=NULL, enableLearning=false, autoCorrection=false, autoComplete=false, imeOptions=0, privateImeOptions=null, actionName=UNSPECIFIED, actionLabel=null, initialSelStart=-1, initialSelEnd=-1, initialCapsMode=0, label=null, fieldId=0, fieldName=null, extras=null, hintText=null, hintLocales=[]}}, false)
08-18 01:33:30.018   782   782 D InsetsController: hide(ime(), fromIme=false)
08-18 01:33:30.018   782   782 I ImeTracker: jp.golia.mailrs:bd94b4bd: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
08-18 01:33:30.018   638   706 I ImeTracker: system_server:2b3aa558: onRequestHide at ORIGIN_SERVER reason IME_REQUESTED_CHANGED_LISTENER fromUser false
08-18 01:33:30.018  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 1, locked = false
08-18 01:33:30.019   638   661 I ImeTracker: system_server:2b3aa558: onCancelled at PHASE_SERVER_SHOULD_HIDE
08-18 01:33:30.026  1251  1251 D RecentsView: onTaskRemoved: 1076, not handling task stack changes
08-18 01:33:30.026  1251  1251 D RecentsView: onTaskRemoved: 1076, not handling task stack changes
08-18 01:33:30.146   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:33:30.495 19153 19153 D VRI[HostPhotoPagerActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:33:30.496   638   661 W IPCThreadState: Sending oneway calls to frozen process.
