08-18 01:54:48.303  6995  7009 I TestRunner: started: the_allow_list_loads_and_can_be_edited(jp.golia.mailrs.MailFlowTest)
08-18 01:54:48.305   638   904 I serviceDiscovery: [MdnsDiscoveryManager] Registering listener for serviceType: _googlecast._tcp.local
08-18 01:54:48.305  6995  7009 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@adedfa0]
08-18 01:54:48.306  1251  1251 D RecentsView: onTaskRemoved: 1337, not handling task stack changes
08-18 01:54:48.306  1251  1251 D RecentsView: onTaskRemoved: 1337, not handling task stack changes
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473036, 5423252, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473065, 7842003, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473087, 3101379, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473116, 3425921, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473145, 3465505, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473167, 3303922, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473189, 4420715, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473211, 3384215, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473233, 3275383, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473262, 3482842, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473291, 3926092, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473313, 3767093, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473335, 3234219, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473357, 3371469, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473379, 3371387, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473401, 3324554, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473423, 4916346, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473445, 2473597, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.308  6995  6995 W FrameTracker: Missed SF frame:JANK_COMPOSER, 4473467, 2776014, CUJ=J<IME_INSETS_SHOW_ANIMATION::0@1@jp.golia.mailrs>
08-18 01:54:48.309   638   662 I ImeTracker: system_server:f6f39ef3: onRequestShow at ORIGIN_SERVER reason CONTROLS_CHANGED fromUser false
08-18 01:54:48.309  6995  7028 V PerfettoTrigger: Not triggering com.android.telemetry.interaction-jank-monitor-80 - not enough time since last trigger
08-18 01:54:48.312  6995  7009 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:54:48.321  1454  1736 I ProtoXDBBufferWrapper: ProtoXDBBufferWrapper.flushToStorage():158 Flushed 53 data item(s) to storage.
08-18 01:54:48.321   638  1475 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10358, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:54:48.321  1454  1454 I InputContextChangeTracker: InputContextChangeTracker.fixLyingSelectionRangeFromSurroundingText():1665 fixLyingSelectionRangeFromSurroundingText(): [-1, -1]([-1, -1]) -> [0, 0]([0, 0])
08-18 01:54:48.322  1454  1736 I ProtoXDBBufferWrapper: ProtoXDBBufferWrapper.addDataItems():54 The pending queue size hits the cache size limit, flushing the cached data to storage now.
08-18 01:54:48.322  1454  1736 I ProtoXDBBufferWrapper: ProtoXDBBufferWrapper.addDataItems():54 The pending queue size hits the cache size limit, flushing the cached data to storage now.
