08-18 01:46:01.533  5467  5488 I TestRunner: started: a_search_with_no_hits_says_which_term_missed(jp.golia.mailrs.MailFlowTest)
08-18 01:46:01.534  5467  5488 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@6af5cd]
08-18 01:46:01.535  5467  5488 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:46:01.536   638  1755 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10354, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:46:01.544   983  1123 I ndroid.systemui: AssetManager2(0xb4000078c004d638) locale list changing from [] to [en-US]
08-18 01:46:01.545   983  1124 D SplashScreenView: Build android.window.SplashScreenView{17795fe V.E...... ......ID 0,0-0,0}
08-18 01:46:01.545   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:46:01.545   983  1124 D SplashScreenView: Branding: view: android.view.View{12715f G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:46:01.548   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:46:01.549   498   535 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:46:01.551  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@17e59e7 in: PRE_ON_CREATE
08-18 01:46:01.551  5467  5467 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:46:01.552  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@17e59e7 in: CREATED
08-18 01:46:01.552  5467  5467 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@17e59e7
08-18 01:46:01.553  1568  1840 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 01:46:01.553  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@17e59e7 in: STARTED
08-18 01:46:01.553  5467  5467 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@17e59e7
08-18 01:46:01.553  5467  5467 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:46:01.554  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@17e59e7 in: RESUMED
08-18 01:46:01.554  5467  5467 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@17e59e7
08-18 01:46:01.587  5530  5530 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:46:01.590   455  5784 I RanchuHwc: logCompositionFallbackIfChanged: layer 6460 CompositionType fallback from 3 to 1
08-18 01:46:01.633   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +95ms
08-18 01:46:01.645  5530  5530 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.app.Activity$$ExternalSyntheticLambda0@920ed15
08-18 01:46:01.646  5530  5530 D ViewRootImpl: Skipping stats log for color mode
08-18 01:46:01.661   638   749 I ImeTracker: jp.golia.mailrs:8240900c: onRequestHide at ORIGIN_SERVER reason HIDE_UNSPECIFIED_WINDOW fromUser false
08-18 01:46:01.663  1251  1251 D RecentsView: onTaskRemoved: 1204, not handling task stack changes
08-18 01:46:01.663  1251  1251 D RecentsView: onTaskRemoved: 1204, not handling task stack changes
08-18 01:46:01.663  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2043
08-18 01:46:01.663  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
08-18 01:46:01.664  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1293 onStartInput(EditorInfo{EditorInfo{packageName=jp.golia.mailrs, inputType=0, inputTypeString=NULL, enableLearning=false, autoCorrection=false, autoComplete=false, imeOptions=0, privateImeOptions=null, actionName=UNSPECIFIED, actionLabel=null, initialSelStart=-1, initialSelEnd=-1, initialCapsMode=0, label=null, fieldId=0, fieldName=null, extras=null, hintText=null, hintLocales=[]}}, false)
08-18 01:46:01.664   638  2805 I ImeTracker: system_server:efd4de6c: onRequestHide at ORIGIN_SERVER reason IME_REQUESTED_CHANGED_LISTENER fromUser false
08-18 01:46:01.664  5467  5467 D InsetsController: hide(ime(), fromIme=false)
