08-18 01:47:23.083  5467  5488 I TestRunner: started: the_second_attachment_is_the_one_fetched(jp.golia.mailrs.MailFlowTest)
08-18 01:47:23.084  1251  1251 D RecentsView: onTaskRemoved: 1233, not handling task stack changes
08-18 01:47:23.085  1251  1251 D RecentsView: onTaskRemoved: 1233, not handling task stack changes
08-18 01:47:23.085  5467  5488 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@862a149]
08-18 01:47:23.086  5467  5488 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:47:23.086   638  1789 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10354, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:47:23.093   983  1124 D SplashScreenView: Build android.window.SplashScreenView{155a0e4 V.E...... ......ID 0,0-0,0}
08-18 01:47:23.093   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:47:23.093   983  1124 D SplashScreenView: Branding: view: android.view.View{cd3294d G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:47:23.096   498  1372 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:47:23.101   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:47:23.103  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@93e2103 in: PRE_ON_CREATE
08-18 01:47:23.103  5467  5467 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:47:23.105  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@93e2103 in: CREATED
08-18 01:47:23.105  5467  5467 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@93e2103
08-18 01:47:23.106  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@93e2103 in: STARTED
08-18 01:47:23.108  5467  5467 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@93e2103
08-18 01:47:23.109  5467  5467 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:47:23.110  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@93e2103 in: RESUMED
08-18 01:47:23.110  5467  5467 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@93e2103
08-18 01:47:23.112  1568  1844 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 01:47:23.120   437  5382 D android.hardware.audio@7.1-impl.ranchu: threadLoop: entering standby, frames: 131975488
08-18 01:47:23.120   437  5382 D android.hardware.audio@7.1-impl.ranchu: ~TinyalsaSink: joining consumeThread
08-18 01:47:23.142   437  5897 D android.hardware.audio@7.1-impl.ranchu: consumeThread: exiting
08-18 01:47:23.142   437  5382 D android.hardware.audio@7.1-impl.ranchu: ~TinyalsaSink: stopping PCM stream
08-18 01:47:23.183  5530  5530 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:47:23.185   983  1093 I ndroid.systemui: AssetManager2(0xb4000078c0054398) locale list changing from [] to [en-US]
08-18 01:47:23.185   983  1093 I ndroid.systemui: AssetManager2(0xb4000078c005e2f8) locale list changing from [] to [en-US]
