08-18 02:05:26.218  8618  8633 I TestRunner: started: cc_and_bcc_travel_as_themselves(jp.golia.mailrs.MailFlowTest)
08-18 02:05:26.220  8618  8633 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@cc79b44]
08-18 02:05:26.221  8618  8633 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 02:05:26.230   638  1657 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10362, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 02:05:26.235   983  1124 D SplashScreenView: Build android.window.SplashScreenView{3427b24 V.E...... ......ID 0,0-0,0}
08-18 02:05:26.235   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 02:05:26.235   983  1124 D SplashScreenView: Branding: view: android.view.View{6ab968d G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 02:05:26.251   498   629 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 02:05:26.254  8618  8618 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@aaf5486 in: PRE_ON_CREATE
08-18 02:05:26.254  8618  8618 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 02:05:26.255   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:05:26.274  8618  8618 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@aaf5486 in: CREATED
08-18 02:05:26.274  8618  8618 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@aaf5486
08-18 02:05:26.274  8618  8618 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@aaf5486 in: STARTED
08-18 02:05:26.274  8618  8618 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@aaf5486
08-18 02:05:26.275  8618  8618 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 02:05:26.275  8618  8618 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@aaf5486 in: RESUMED
08-18 02:05:26.275  8618  8618 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@aaf5486
08-18 02:05:26.284  1568  1844 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 02:05:26.303  8675  8675 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 02:05:26.324   455  5784 I RanchuHwc: logCompositionFallbackIfChanged: layer 7997 CompositionType fallback from 3 to 1
08-18 02:05:26.360  1194  1194 D wpa_supplicant: nl80211: Drv Event 64 (NL80211_CMD_NOTIFY_CQM) received for wlan0
08-18 02:05:26.360  1194  1194 D wpa_supplicant: nl80211: Beacon loss event
08-18 02:05:26.360  1194  1194 D wpa_supplicant: wlan0: Event BEACON_LOSS (53) received
08-18 02:05:26.360  1194  1194 I wpa_supplicant: wlan0: CTRL-EVENT-BEACON-LOSS
08-18 02:05:26.387   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +157ms
08-18 02:05:26.398  8675  8675 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.app.Activity$$ExternalSyntheticLambda0@f8cb6f7
08-18 02:05:26.399  8675  8675 D ViewRootImpl: Skipping stats log for color mode
08-18 02:05:26.420   638   749 I ImeTracker: jp.golia.mailrs:1978554d: onRequestHide at ORIGIN_SERVER reason HIDE_UNSPECIFIED_WINDOW fromUser false
08-18 02:05:26.422  1251  1251 D RecentsView: onTaskRemoved: 1466, not handling task stack changes
08-18 02:05:26.422  1251  1251 D RecentsView: onTaskRemoved: 1466, not handling task stack changes
08-18 02:05:26.423  8618  8618 D InsetsController: hide(ime(), fromIme=false)
08-18 02:05:26.423  8618  8618 I ImeTracker: jp.golia.mailrs:1978554d: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
08-18 02:05:26.423  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2043
08-18 02:05:26.425   638  1657 I ImeTracker: system_server:c7d56081: onRequestHide at ORIGIN_SERVER reason IME_REQUESTED_CHANGED_LISTENER fromUser false
08-18 02:05:26.427   638   661 I ImeTracker: system_server:c7d56081: onCancelled at PHASE_SERVER_SHOULD_HIDE
08-18 02:05:26.427  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
08-18 02:05:26.427  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1293 onStartInput(EditorInfo{EditorInfo{packageName=jp.golia.mailrs, inputType=0, inputTypeString=NULL, enableLearning=false, autoCorrection=false, autoComplete=false, imeOptions=0, privateImeOptions=null, actionName=UNSPECIFIED, actionLabel=null, initialSelStart=-1, initialSelEnd=-1, initialCapsMode=0, label=null, fieldId=0, fieldName=null, extras=null, hintText=null, hintLocales=[]}}, false)
08-18 02:05:26.429  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 1, locked = false
08-18 02:05:26.439   983   988 I ndroid.systemui: NativeAlloc concurrent mark compact GC freed 6429KB AllocSpace bytes, 2(40KB) LOS objects, 47% free, 26MB/50MB, paused 152us,557us total 136.288ms
08-18 02:05:26.449   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:05:26.827 19153 19153 D VRI[HostPhotoPagerActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 02:05:26.849   638  1657 W JobInfo : Job 'com.google.android.apps.photos/com.google.android.libraries.social.async.BackgroundTaskJobService#1043' has a deadline with no functional constraints. The deadline won't improve job execution latency. Consider removing the deadline.
08-18 02:05:26.852  1338  8948 I DiscoveryManager: Filter criteria(null) scannerFlags(0)
08-18 02:05:26.852  1338  8948 W DatabaseProcessor: processLocalDevices: failed to get the network info with non-null networkId.
08-18 02:05:26.853   638   904 I serviceDiscovery: [MdnsDiscoveryManager] Unregistering listener for serviceType:_googlecast._tcp.local
08-18 02:05:26.854   638   904 I serviceDiscovery: [MdnsDiscoveryManager] Unregistering listener for serviceType:_googlecast._tcp.local
08-18 02:05:26.854   638   888 I WifiService: releaseMulticastLock uid=10146 lockTag=MdnsServiceBrowserImpl
08-18 02:05:26.854   638   888 V WifiPermissionsUtil: deviceOwner:null
08-18 02:05:26.854   638   904 I WifiService: releaseMulticastLock uid=1000 lockTag=NsdService
08-18 02:05:26.855 19153 19197 W JobInfo : Requested important-while-foreground flag for job555000567 is ignored and takes no effect
