08-18 01:45:47.195  5467  5488 I TestRunner: started: replying_sends_a_reply_and_not_a_new_message(jp.golia.mailrs.MailFlowTest)
08-18 01:45:47.197  5467  5488 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@9556eb8]
08-18 01:45:47.197  1251  1251 D RecentsView: onTaskRemoved: 1199, not handling task stack changes
08-18 01:45:47.197  1251  1251 D RecentsView: onTaskRemoved: 1199, not handling task stack changes
08-18 01:45:47.198  5467  5488 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:45:47.199   638  2805 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10354, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:45:47.201   498   630 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:45:47.203   983  1123 I ndroid.systemui: AssetManager2(0xb4000078c0060eb8) locale list changing from [] to [en-US]
08-18 01:45:47.203   983  1124 D SplashScreenView: Build android.window.SplashScreenView{ce2d85 V.E...... ......ID 0,0-0,0}
08-18 01:45:47.203   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:45:47.203   983  1124 D SplashScreenView: Branding: view: android.view.View{38617da G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:45:47.205   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:45:47.206   498   498 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:45:47.211   548   627 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:45:47.214  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@ad712da in: PRE_ON_CREATE
08-18 01:45:47.214  5467  5467 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:45:47.219  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@ad712da in: CREATED
08-18 01:45:47.219  5467  5467 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@ad712da
08-18 01:45:47.219  5467  5467 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@ad712da in: STARTED
08-18 01:45:47.219  5467  5467 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@ad712da
