08-18 02:04:28.175  8618  8633 I TestRunner: started: a_swiped_row_can_be_brought_back(jp.golia.mailrs.MailFlowTest)
08-18 02:04:28.181  8618  8633 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@8d66796]
08-18 02:04:28.184  8618  8633 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 02:04:28.186   638  1663 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10362, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 02:04:28.198   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.199  8618  8618 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@6f92488 in: PRE_ON_CREATE
08-18 02:04:28.199  8618  8618 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 02:04:28.201   983  1124 D SplashScreenView: Build android.window.SplashScreenView{8c1c21d V.E...... ......ID 0,0-0,0}
08-18 02:04:28.201   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 02:04:28.201   983  1124 D SplashScreenView: Branding: view: android.view.View{312ac92 G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 02:04:28.204  8618  8618 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@6f92488 in: CREATED
08-18 02:04:28.204  8618  8618 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@6f92488
08-18 02:04:28.204  8618  8618 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@6f92488 in: STARTED
08-18 02:04:28.204  8618  8618 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@6f92488
08-18 02:04:28.204   498   629 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 02:04:28.205  8618  8618 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 02:04:28.205  8618  8618 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@6f92488 in: RESUMED
08-18 02:04:28.205  8618  8618 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@6f92488
08-18 02:04:28.217  1568  1840 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 02:04:28.271   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +80ms
08-18 02:04:28.295  8675  8675 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 02:04:28.307   455  5784 I RanchuHwc: logCompositionFallbackIfChanged: layer 7899 CompositionType fallback from 3 to 1
08-18 02:04:28.314   638   749 I ImeTracker: jp.golia.mailrs:1840f3bf: onRequestHide at ORIGIN_SERVER reason HIDE_UNSPECIFIED_WINDOW fromUser false
08-18 02:04:28.317  8618  8618 D InsetsController: hide(ime(), fromIme=false)
08-18 02:04:28.317  8618  8618 I ImeTracker: jp.golia.mailrs:1840f3bf: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
08-18 02:04:28.322  8675  8675 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.app.Activity$$ExternalSyntheticLambda0@d1696c4
08-18 02:04:28.330  8675  8675 D ViewRootImpl: Skipping stats log for color mode
08-18 02:04:28.333  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2043
08-18 02:04:28.333   638  1657 I ImeTracker: system_server:c2d6b63c: onRequestHide at ORIGIN_SERVER reason IME_REQUESTED_CHANGED_LISTENER fromUser false
08-18 02:04:28.333  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
08-18 02:04:28.333   638   661 I ImeTracker: system_server:c2d6b63c: onCancelled at PHASE_SERVER_SHOULD_HIDE
08-18 02:04:28.334  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1293 onStartInput(EditorInfo{EditorInfo{packageName=jp.golia.mailrs, inputType=0, inputTypeString=NULL, enableLearning=false, autoCorrection=false, autoComplete=false, imeOptions=0, privateImeOptions=null, actionName=UNSPECIFIED, actionLabel=null, initialSelStart=-1, initialSelEnd=-1, initialCapsMode=0, label=null, fieldId=0, fieldName=null, extras=null, hintText=null, hintLocales=[]}}, false)
08-18 02:04:28.335  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 1, locked = false
08-18 02:04:28.348  1251  1251 D RecentsView: onTaskRemoved: 1450, not handling task stack changes
08-18 02:04:28.348  1251  1251 D RecentsView: onTaskRemoved: 1450, not handling task stack changes
08-18 02:04:28.374   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.809 19153 19153 D VRI[HostPhotoPagerActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.810   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.811   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.811   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.811   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.811   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.811   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.811   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.811   638   661 W IPCThreadState: Sending oneway calls to frozen process.
08-18 02:04:28.811   638   661 W IPCThreadState: Sending oneway calls to frozen process.
