08-18 01:38:54.284  3789  3808 I TestRunner: started: the_drawer_switches_which_list_is_read(jp.golia.mailrs.MailFlowTest)
08-18 01:38:54.298  3789  3808 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@d45927a]
08-18 01:38:54.298  3789  3808 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:38:54.300   638  1773 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10350, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:38:54.308  1194  1194 D wpa_supplicant: nl80211: Drv Event 64 (NL80211_CMD_NOTIFY_CQM) received for wlan0
08-18 01:38:54.308  1194  1194 D wpa_supplicant: nl80211: Beacon loss event
08-18 01:38:54.308  1194  1194 D wpa_supplicant: wlan0: Event BEACON_LOSS (53) received
08-18 01:38:54.308  1194  1194 I wpa_supplicant: wlan0: CTRL-EVENT-BEACON-LOSS
08-18 01:38:54.316   983  1124 D SplashScreenView: Build android.window.SplashScreenView{d4e8070 V.E...... ......ID 0,0-0,0}
08-18 01:38:54.316   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:38:54.316   983  1124 D SplashScreenView: Branding: view: android.view.View{c2effe9 G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:38:54.334  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@6f8ccc in: PRE_ON_CREATE
08-18 01:38:54.335  3789  3789 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:38:54.340   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:38:54.354  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@6f8ccc in: CREATED
08-18 01:38:54.354  3789  3789 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@6f8ccc
08-18 01:38:54.355  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@6f8ccc in: STARTED
08-18 01:38:54.355  3789  3789 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@6f8ccc
08-18 01:38:54.355  3789  3789 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:38:54.355  3789  3789 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@6f8ccc in: RESUMED
08-18 01:38:54.355  3789  3789 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@6f8ccc
08-18 01:38:54.359   498   536 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:38:54.369  1568  1844 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 01:38:54.376   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:38:54.436  3840  3840 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:38:54.457   455   503 I RanchuHwc: logCompositionFallbackIfChanged: layer 5926 CompositionType fallback from 3 to 1
08-18 01:38:54.490  3840  3840 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.app.Activity$$ExternalSyntheticLambda0@f9a0553
08-18 01:38:54.503  3840  3840 D ViewRootImpl: Skipping stats log for color mode
08-18 01:38:54.515   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +189ms
08-18 01:38:54.520   638   749 I ImeTracker: jp.golia.mailrs:efd2c85f: onRequestHide at ORIGIN_SERVER reason HIDE_UNSPECIFIED_WINDOW fromUser false
08-18 01:38:54.525  3789  3789 D InsetsController: hide(ime(), fromIme=false)
08-18 01:38:54.525  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2043
08-18 01:38:54.526  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 0, locked = false
08-18 01:38:54.526  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1293 onStartInput(EditorInfo{EditorInfo{packageName=jp.golia.mailrs, inputType=0, inputTypeString=NULL, enableLearning=false, autoCorrection=false, autoComplete=false, imeOptions=0, privateImeOptions=null, actionName=UNSPECIFIED, actionLabel=null, initialSelStart=-1, initialSelEnd=-1, initialCapsMode=0, label=null, fieldId=0, fieldName=null, extras=null, hintText=null, hintLocales=[]}}, false)
08-18 01:38:54.526  3789  3789 I ImeTracker: jp.golia.mailrs:efd2c85f: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
08-18 01:38:54.526   638   652 I ImeTracker: system_server:bf783ede: onRequestHide at ORIGIN_SERVER reason IME_REQUESTED_CHANGED_LISTENER fromUser false
08-18 01:38:54.526  1454  1454 I Module  : DeviceLockedStatusModuleProvider$Module.updateDeviceLockedStatus():100 repeatCheckTimes = 1, locked = false
08-18 01:38:54.531   638   661 I ImeTracker: system_server:bf783ede: onCancelled at PHASE_SERVER_SHOULD_HIDE
08-18 01:38:54.551  1251  1251 D RecentsView: onTaskRemoved: 1114, not handling task stack changes
08-18 01:38:54.551  1251  1251 D RecentsView: onTaskRemoved: 1114, not handling task stack changes
08-18 01:38:54.966 19153 19153 D VRI[HostPhotoPagerActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:38:54.990   431   484 I netd    : tetherGetStats() -> {[]} <9.97ms>
08-18 01:38:55.011 19153 19196 W JobInfo : Requested important-while-foreground flag for job555000391 is ignored and takes no effect
08-18 01:38:55.012  1338  3985 I DiscoveryManager: Filter criteria(null) scannerFlags(0)
08-18 01:38:55.012  1338  3985 W DatabaseProcessor: processLocalDevices: failed to get the network info with non-null networkId.
08-18 01:38:55.014   638   904 I serviceDiscovery: [MdnsDiscoveryManager] Unregistering listener for serviceType:_googlecast._tcp.local
08-18 01:38:55.016   638   904 I serviceDiscovery: [MdnsDiscoveryManager] Unregistering listener for serviceType:_googlecast._tcp.local
08-18 01:38:55.016   638   904 I WifiService: releaseMulticastLock uid=1000 lockTag=NsdService
08-18 01:38:55.016   638   904 I serviceDiscovery: [MdnsSocketProvider] Stop monitoring sockets.
08-18 01:38:55.016   638   904 I TetheringManager: unregisterTetheringEventCallback caller:android
08-18 01:38:55.017   638  1791 I WifiService: releaseMulticastLock uid=10146 lockTag=MdnsServiceBrowserImpl
08-18 01:38:55.017   638  1791 V WifiPermissionsUtil: deviceOwner:null
08-18 01:38:55.028   638  1791 D ConnectivityService: requestNetwork for uid/pid:10159/19153 activeRequest: null callbackRequest: 1329 [NetworkRequest [ REQUEST id=1330, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10159 RequestorUid: 10159 RequestorPkg: com.google.android.apps.photos UnderlyingNetworks: Null] ]] callback flags: 0 order: 2147483647 isUidTracked: false declaredMethods: AVAIL|LOST|NC
08-18 01:38:55.028  1086  1225 D IpClient.wlan0: set max DTIM multiplier to 2
08-18 01:38:55.029   638   895 D WifiVendorHal: installPacketFilter filter length 1683
08-18 01:38:55.032   638   895 D WifiClientModeImpl[19878:wlan0]:  ClientModeImpl$ConnectableState screen=on len=1683
08-18 01:38:55.032   638   895 E WifiStaIfaceAidlImpl: setDtimMultiplier failed with service-specific exception: android.os.ServiceSpecificException:  (code 4)
08-18 01:38:55.032   638   895 D WifiClientModeImpl: Set maximum DTIM Multiplier to 2 FAIL
08-18 01:38:55.032   638   895 D WifiClientModeImpl[19878:wlan0]:  ClientModeImpl$ConnectableState screen=on maximum multiplier=2
08-18 01:38:55.035   638   895 D WifiNetworkFactory: got request NetworkRequest [ REQUEST id=1330, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10159 RequestorUid: 10159 RequestorPkg: com.google.android.apps.photos UnderlyingNetworks: Null] ]
08-18 01:38:55.035   638   895 V WifiNetworkFactory: Accepted network request NetworkRequest [ REQUEST id=1330, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10159 RequestorUid: 10159 RequestorPkg: com.google.android.apps.photos UnderlyingNetworks: Null] ]
08-18 01:38:55.035   638   895 D UntrustedWifiNetworkFactory: got request NetworkRequest [ REQUEST id=1330, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED&NOT_VCN_MANAGED&NOT_BANDWIDTH_CONSTRAINED Uid: 10159 RequestorUid: 10159 RequestorPkg: com.google.android.apps.photos UnderlyingNetworks: Null] ]
