08-18 01:42:54.687  4646  4661 I TestRunner: started: the_queue_says_which_rows_are_stuck(jp.golia.mailrs.MailFlowTest)
08-18 01:42:54.690   638   904 I WifiService: acquireMulticastLock uid=1000 lockTag=NsdService
08-18 01:42:54.695  1251  1251 D RecentsView: onTaskRemoved: 1159, not handling task stack changes
08-18 01:42:54.695  1251  1251 D RecentsView: onTaskRemoved: 1159, not handling task stack changes
08-18 01:42:54.697  4646  4661 D IdlingRegistry: Registering idling resources: [androidx.compose.ui.test.EspressoLink@6f8ccc]
08-18 01:42:54.698  4646  4661 W Settings: Setting always_finish_activities has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
08-18 01:42:54.700   638   961 V GrammaticalInflectionUtils: AttributionSource: AttributionSource { uid = 10352, packageName = null, attributionTag = null, token = android.os.Binder@33c18a5, deviceId = 0, next = null } does not have READ_SYSTEM_GRAMMATICAL_GENDER permission.
08-18 01:42:54.712  4646  4646 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@784dace in: PRE_ON_CREATE
08-18 01:42:54.712  4646  4646 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
08-18 01:42:54.715  4646  4646 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@784dace in: CREATED
08-18 01:42:54.715  4646  4646 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=jp.golia.mailrs.MainActivity@784dace
08-18 01:42:54.715  4646  4646 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@784dace in: STARTED
08-18 01:42:54.715  4646  4646 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=jp.golia.mailrs.MainActivity@784dace
08-18 01:42:54.716  4646  4646 D AutofillManager: Fill dialog is enabled:false, hints=[]
08-18 01:42:54.716  4646  4646 D LifecycleMonitor: Lifecycle status change: jp.golia.mailrs.MainActivity@784dace in: RESUMED
08-18 01:42:54.716  4646  4646 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=jp.golia.mailrs.MainActivity@784dace
08-18 01:42:54.717   983  1124 D SplashScreenView: Build android.window.SplashScreenView{977c0dc V.E...... ......ID 0,0-0,0}
08-18 01:42:54.717   983  1124 D SplashScreenView: Icon: view: null drawable: null size: 0
08-18 01:42:54.717   983  1124 D SplashScreenView: Branding: view: android.view.View{ae855e5 G.ED..... ......I. 0,0-0,0 #1020541 android:id/splashscreen_branding_view} drawable: null size w: 0 h: 0
08-18 01:42:54.717   548   548 W IPCThreadState: Sending oneway calls to frozen process.
08-18 01:42:54.720  1568  1844 I AssistantForeground: (REDACTED) Get launcher package: %s
08-18 01:42:54.732   498  1372 I BpBinder: onLastStrongRef automatically unlinking death recipients:
08-18 01:42:54.803  4703  4703 D VRI[InstrumentationActivityInvoker$EmptyActivity]: visibilityChanged oldVisibility=true newVisibility=false
08-18 01:42:54.821   638   658 I ActivityTaskManager: Displayed jp.golia.mailrs/.MainActivity for user 0: +120ms
08-18 01:42:54.824   455  5784 I RanchuHwc: logCompositionFallbackIfChanged: layer 6200 CompositionType fallback from 3 to 1
08-18 01:42:54.826  4703  4703 W WindowOnBackDispatcher: sendCancelIfRunning: isInProgress=false callback=android.app.Activity$$ExternalSyntheticLambda0@a4fcac1
08-18 01:42:54.832  4703  4703 D ViewRootImpl: Skipping stats log for color mode
08-18 01:42:54.847   638   749 I ImeTracker: jp.golia.mailrs:9eaed01a: onRequestHide at ORIGIN_SERVER reason HIDE_UNSPECIFIED_WINDOW fromUser false
08-18 01:42:54.847  4646  4646 D InsetsController: hide(ime(), fromIme=false)
08-18 01:42:54.847  4646  4646 I ImeTracker: jp.golia.mailrs:9eaed01a: onCancelled at PHASE_CLIENT_ALREADY_HIDDEN
08-18 01:42:54.847  1251  1251 D RecentsView: onTaskRemoved: 1160, not handling task stack changes
08-18 01:42:54.848  1251  1251 D RecentsView: onTaskRemoved: 1160, not handling task stack changes
08-18 01:42:54.849  1454  1454 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():2043
